Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-002	220-223	3	αἰτοῦ	head	0	2
0085-002	220-223	4	τάδε	relation	OBJ	OBJ_AP
0085-002	220-223	4	τάδε	head	3	5
0085-002	220-223	5	,	relation	AuxX	APOS
0085-002	220-223	5	,	head	0	3
0085-002	220-223	10	ὅνπερ	lemma	ὅσπερ	ὅς
0085-002	220-223	17	σοι	postag	p2s---cd-	p-s---fd-
0085-002	220-223	18	πέμπειν	relation	APOS_CO	OBJ_AP_CO
0085-002	220-223	25	,	relation	AuxX	AuxY
0085-002	220-223	27	δὲ	head	4	5
0085-002	220-223	29	γαίᾳ	lemma	γῆ	γαῖα
0085-002	220-223	31	μαυροῦσθαι	relation	APOS_CO	OBJ_AP_CO
0085-002	216-219	2	δὲ	head	11	0
0085-002	216-219	11	αἰτοῦ	relation	PRED	PRED_CO
0085-002	216-219	11	αἰτοῦ	head	0	2
0085-002	216-219	15	,	relation	AuxX	AuxY
0085-002	216-219	20	γενέσθαι	postag	v--anm---	v--an----
0085-002	216-219	21	σοί	postag	p2s---cd-	p-s---fd-
0085-002	216-219	25	σέθεν	postag	p2s---cg-	p-s---fg-
0085-002	224	4	σοι	postag	p2s---cd-	p-s---fd-
0085-002	228-230	2	δ’	head	8	0
0085-002	228-230	4	ὡς	postag	c--------	d--------
0085-002	228-230	8	θήσομεν	relation	PRED	PRED_CO
0085-002	228-230	8	θήσομεν	head	0	2
0085-002	228-230	17	ἂν	head	20	16
0085-002	246	2	ἐμοὶ	postag	p1s---cd-	p-s---md-
0085-002	246	3	δοκεῖν	relation	ExD	AuxY
0085-002	233	2	μὴν	head	3	1
0085-002	233	5	παῖς	postag	n-s---cn-	n-s---mn-
0085-002	238	2	πηγή	relation	SBJ	SBJ_AP
0085-002	238	2	πηγή	head	5	6
0085-002	238	3	τις	postag	p-s---cn-	p-s---fn-
0085-002	238	6	,	relation	AuxX	APOS
0085-002	238	6	,	head	0	5
0085-002	238	7	θησαυρὸς	relation	APOS	SBJ_AP
0085-002	238	7	θησαυρὸς	head	2	6
0085-002	245	2	τοι	relation	AuxY	AuxZ
0085-002	236	1	καὶ	postag	d--------	c--------
